District ID,District Name,School ID,School Name,School Year,Dropouts,Enrollment,Annual Dropout Rate,G9,G10,G11,G12
151,Waterbury School District,63,Wilby High School,2004-05,17,1105,1.5,0.6,2.5,2.4,0.8
152,Waterford School District,61,Waterford High School,2004-05,13,1010,1.3,0.4,0.4,2.9,1.6
153,Watertown School District,61,Watertown High School,2004-05,13,952,1.4,0.4,1.5,1.6,2
155,West Hartford School District,61,Conard High School,2004-05,17,1416,1.2,0.8,0.8,2.4,0.9
155,West Hartford School District,62,Hall High School,2004-05,19,1563,1.2,0.3,1.4,1.6,1.6
156,West Haven School District,61,West Haven High School,2004-05,28,1901,1.5,1.3,1.8,1.5,1.4
154,Westbrook School District,61,Westbrook High School,2004-05,0,317,0,0,0,0,0
157,Weston School District,61,Weston High School,2004-05,1,713,0.1,0,0,0,0.6
158,Westport School District,61,Staples High School,2004-05,0,1458,0,0,0,0,0
159,Wethersfield School District,61,Wethersfield High School,2004-05,12,1173,1,0.6,0.7,1.7,1.1
161,Wilton School District,61,Wilton High School,2004-05,4,1216,0.3,0,0,0.4,1
162,Winchester School District,61,Joy D. Rice School,2004-05,3,30,10,0,0,25,9.1
163,Windham School District,61,Windham High School,2004-05,38,1009,3.8,2.8,6.4,4.6,1
165,Windsor Locks School District,61,Windsor Locks High School,2004-05,11,614,1.8,0,1.1,0.8,5.6
164,Windsor School District,61,Windsor High School,2004-05,27,1471,1.8,0.5,1.9,3,2.5
166,Wolcott School District,61,Wolcott High School,2004-05,20,847,2.4,1.8,2.6,2.3,2.8
903,Woodstock Academy,61,Woodstock Academy,2004-05,11,1075,1,0.3,0.7,1.2,2
2,Ansonia School District,61,Ansonia High School,2003-04,20,668,3,3.4,2.3,3.9,2.5
244,Area Cooperative Educational Services,61,Collaborative Alternative Magnet School,2003-04,1,30,3.3,0,0,7.1,0
4,Avon School District,61,Avon High School,2003-04,0,855,0,0,0,0,0
7,Berlin School District,61,Berlin High School,2003-04,9,1060,0.8,0.4,0.4,1.5,1.2
9,Bethel School District,61,Bethel High School,2003-04,0,959,0,0,0,0,0
11,Bloomfield School District,61,Bloomfield High School,2003-04,20,732,2.7,1.9,3.7,4.6,0.7
12,Bolton School District,61,Bolton High School,2003-04,0,328,0,0,0,0,0
14,Branford School District,61,Branford High School,2003-04,14,1173,1.2,0,0.7,0.7,3.6
15,Bridgeport School District,61,Bassick High School,2003-04,71,1227,5.8,4.6,9.3,6.3,2.9
15,Bridgeport School District,62,Central High School,2003-04,104,2217,4.7,7.1,5.1,2.1,3.1
15,Bridgeport School District,63,Harding High School,2003-04,77,1598,4.8,5.1,4.9,5.7,2.6
17,Bristol School District,61,Bristol Central High School,2003-04,7,1439,0.5,0,0.8,0.9,0.3
17,Bristol School District,62,Bristol Eastern High School,2003-04,26,1361,1.9,1.1,2.4,2.2,1.9
18,Brookfield School District,61,Brookfield High School,2003-04,0,936,0,0,0,0,0
23,Canton School District,61,Canton High School,2003-04,2,469,0.4,0,0,1.6,0
241,Capitol Region Education Council,61,Metropolitan Learning Center,2003-04,0,256,0,0,0,0,0
25,Cheshire School District,61,Cheshire High School,2003-04,18,1563,1.2,0.2,1.2,1.3,1.9
27,Clinton School District,61,The Morgan School,2003-04,3,633,0.5,0,0,0.6,1.3
28,Colchester School District,61,Bacon Academy,2003-04,5,872,0.6,0.4,1.3,0.5,0
268,Common Ground High School District,61,Common Ground High School,2003-04,1,116,0.9,2.6,0,0,0
900,Connecticut Technical High School System,15,A. I. Prince Technical High School,2003-04,11,772,1.4,2,1.4,0.6,1.4
900,Connecticut Technical High School System,11,Bullard-Havens Technical High School,2003-04,3,958,0.3,0.4,0,0.4,0.5
900,Connecticut Technical High School System,19,E. C. Goodwin Technical High School,2003-04,9,671,1.3,1,1.5,1.3,1.7
900,Connecticut Technical High School System,14,Eli Whitney Technical High School,2003-04,7,597,1.2,1,2.4,0,1.1
900,Connecticut Technical High School System,27,Ella T. Grasso Southeastern Technical High School,2003-04,2,707,0.3,0,0,0.6,0.6
900,Connecticut Technical High School System,25,Emmett O'Brien Technical High School,2003-04,3,551,0.5,0,0.6,1.7,0
900,Connecticut Technical High School System,17,H. C. Wilcox Technical High School,2003-04,2,750,0.3,0,0,0.5,0.7
900,Connecticut Technical High School System,13,H. H. Ellis Technical High School,2003-04,3,604,0.5,0,0,0,2.3
900,Connecticut Technical High School System,12,Henry Abbott Technical High School,2003-04,1,650,0.2,0,0,0,0.8
900,Connecticut Technical High School System,16,Howell Cheney Technical High School,2003-04,1,575,0.2,0,0,0.7,0
900,Connecticut Technical High School System,21,J. M. Wright Technical High School,2003-04,2,425,0.5,0,0.9,1,0
900,Connecticut Technical High School System,20,Norwich Technical High School,2003-04,11,547,2,2.7,0.7,3.3,1.1
900,Connecticut Technical High School System,22,Oliver Wolcott Technical High School,2003-04,3,676,0.4,0,0,0.6,1.4
900,Connecticut Technical High School System,26,Platt Technical High School,2003-04,1,822,0.1,0,0.5,0,0
900,Connecticut Technical High School System,18,Vinal Technical High School,2003-04,0,647,0,0,0,0,0
900,Connecticut Technical High School System,23,W. F. Kaynor Technical High School,2003-04,4,766,0.5,0,0,1,1.2
900,Connecticut Technical High School System,24,Windham Technical High School,2003-04,0,535,0,0,0,0,0
32,Coventry School District,61,Coventry High School,2003-04,2,607,0.3,0,0.6,0,0.8
33,Cromwell School District,61,Cromwell High School,2003-04,3,485,0.6,0.7,0,0.9,0.7
34,Danbury School District,62,Alternative Center For Excellence,2003-04,18,84,21.4,15.4,16.7,36.8,18.2
34,Danbury School District,61,Danbury High School,2003-04,47,2801,1.7,0.7,1.7,2.2,2.4
35,Darien School District,61,Darien High School,2003-04,4,957,0.4,0,0.4,0,1.2
37,Derby School District,61,Derby High School,2003-04,3,417,0.7,0,1,1,1
40,East Granby School District,61,East Granby High School,2003-04,1,243,0.4,0,0,2,0
41,East Haddam School District,61,Nathan Hale-Ray High School,2003-04,5,330,1.5,1.3,2,1.4,1.3
42,East Hampton School District,61,East Hampton High School,2003-04,2,516,0.4,0.8,0.7,0,0
43,East Hartford School District,63,Connecticut IB Academy,2003-04,0,139,0,0,0,0,0
43,East Hartford School District,62,East Hartford High School,2003-04,54,2250,2.4,2.3,2.8,1.8,2.9
44,East Haven School District,61,East Haven High School,2003-04,3,1128,0.3,0,1.1,0,0
45,East Lyme School District,61,East Lyme High School,2003-04,16,1234,1.3,0,1.8,1.6,1.7
47,East Windsor School District,61,East Windsor High School,2003-04,11,463,2.4,0,2.5,3.5,4.3
48,Ellington School District,61,Ellington High School,2003-04,15,683,2.2,1.3,1.1,4.6,2.1
49,Enfield School District,61,Enfield High School,2003-04,17,955,1.8,0.8,1.2,2,3.3
49,Enfield School District,62,Enrico Fermi High School,2003-04,36,1182,3,1,2.8,5.5,2.7
272,Explorations District,61,Explorations,2003-04,4,69,5.8,0,5.6,6.3,5.3
51,Fairfield School District,62,Fairfield Warde High School,2003-04,14,2275,0.6,0.2,0.5,0.6,1.3
52,Farmington School District,61,Farmington High School,2003-04,13,1321,1,0.3,0,2.3,1.4
54,Glastonbury School District,61,Glastonbury High School,2003-04,5,1876,0.3,0,0,0.2,0.9
56,Granby School District,61,Granby Memorial High School,2003-04,6,599,1,0,0,0.6,3.6
57,Greenwich School District,61,Greenwich High School,2003-04,16,2595,0.6,0.1,0.3,1,1.2
58,Griswold School District,62,Griswold High School,2003-04,27,750,3.6,2.3,3.1,7.5,1.8
59,Groton School District,61,Fitch Senior High School,2003-04,6,1392,0.4,0,0.9,0.5,0.4
60,Guilford School District,61,Guilford High School,2003-04,6,1117,0.5,0,0.4,0,1.8
62,Hamden School District,61,Hamden High School,2003-04,22,2163,1,0.2,1.3,1.4,1.3
64,Hartford School District,61,Bulkeley High School Lower School,2003-04,81,1673,4.8,4.2,6,3.4,6.3
64,Hartford School District,64,Classical Magnet School,2003-04,1,266,0.4,1,0,0,0
64,Hartford School District,62,Hartford Public High School,2003-04,57,1185,4.8,6.6,2.6,5,1.3
64,Hartford School District,66,Pathways to Technology Magnet School,2003-04,0,82,0,0,0,0,0
64,Hartford School District,65,Sports and Medical Sciences Academy,2003-04,2,357,0.6,0,1,1.1,0
64,Hartford School District,63,Weaver High School,2003-04,31,1264,2.5,3.6,1.7,1.6,1.8
69,Killingly School District,61,Killingly High School,2003-04,52,989,5.3,0.8,3.7,9,8.1
71,Lebanon School District,62,Lyman Memorial High School,2003-04,6,612,1,0,0,1.9,2.3
72,Ledyard School District,61,Ledyard High School,2003-04,17,1036,1.6,0.4,1.4,1.9,2.9
74,Litchfield School District,61,Litchfield High School,2003-04,3,416,0.7,0,0,0.9,2
76,Madison School District,61,Daniel Hand High School,2003-04,5,1026,0.5,0.4,0.4,0.4,0.8
77,Manchester School District,62,Great Path Academy at MCC,2003-04,0,65,0,0,0,0,0
77,Manchester School District,61,Manchester High School,2003-04,31,2217,1.4,0.6,1.6,2.6,1.1
80,Meriden School District,61,Francis T. Maloney High School,2003-04,29,1289,2.2,1.4,2,3.1,3.1
80,Meriden School District,62,Orville H. Platt High School,2003-04,23,1085,2.1,3.3,2,1.6,1.3
83,Middletown School District,62,Middletown High School,2003-04,5,1266,0.4,0,0.3,1,0.4
84,Milford School District,62,Jonathan Law High School,2003-04,8,1022,0.8,0.4,1.9,0.4,0.4
84,Milford School District,63,Joseph A. Foran High School,2003-04,5,1016,0.5,0.4,1.1,0,0.4
84,Milford School District,64,The Academy,2003-04,1,91,1.1,0,4.5,0,0
85,Monroe School District,61,Masuk High School,2003-04,2,1323,0.2,0,0.3,0,0.3
86,Montville School District,61,Montville High School,2003-04,5,807,0.6,0.5,0.5,0.5,1.1
88,Naugatuck School District,61,Naugatuck High School,2003-04,36,1632,2.2,1.6,2.5,3.2,1.6
89,New Britain School District,61,New Britain High School,2003-04,139,2969,4.7,4.3,5.7,4.4,4.1
90,New Canaan School District,61,New Canaan High School,2003-04,1,1056,0.1,0,0,0.4,0
91,New Fairfield School District,61,New Fairfield High School,2003-04,5,901,0.6,0.9,0,0.9,0.5
93,New Haven School District,64,Cooperative High School,2003-04,12,383,3.1,0,1,6.3,6.9
93,New Haven School District,66,High School In The Community,2003-04,11,323,3.4,2.8,3.5,2.4,4.9
93,New Haven School District,63,Hill Regional Career High School,2003-04,16,623,2.6,3.2,3.5,2.9,0
93,New Haven School District,68,Hyde Leadership School,2003-04,8,187,4.3,3.8,5.4,4.5,2.9
93,New Haven School District,62,James Hillhouse High School,2003-04,118,1305,9,9.5,7.5,10.8,8.6
93,New Haven School District,60,Metropolitan Business High School,2003-04,4,69,5.8,2.1,14.3,0,0
93,New Haven School District,70,New Haven Academy,2003-04,0,62,0,0,0,0,0
93,New Haven School District,65,Polly T. McCabe Center,2003-04,1,12,8.3,0,8.3,0,0
93,New Haven School District,69,Riverside Education Academy,2003-04,38,172,22.1,13.8,24.4,27.3,27.6
93,New Haven School District,67,Sound School,2003-04,5,320,1.6,2.2,2.4,0,1.6
93,New Haven School District,61,Wilbur Cross High School,2003-04,103,1720,6,2.9,7,9.2,5.3
95,New London School District,61,New London High School,2003-04,59,685,8.6,4.1,14.2,11,6.7
96,New Milford School District,61,New Milford High School,2003-04,7,1544,0.5,0,0.5,0.5,0.9
94,Newington School District,61,Newington High School,2003-04,4,1409,0.3,0,0,0,1.2
97,Newtown School District,61,Newtown High School,2003-04,16,1557,1,0,0,1.8,2.5
99,North Branford School District,61,North Branford High School,2003-04,5,678,0.7,0.6,0,2.3,0
101,North Haven School District,61,North Haven High School,2003-04,6,1052,0.6,0.7,0,0,1.6
102,North Stonington School District,61,Wheeler High School,2003-04,7,272,2.6,0,3.1,4.5,2.9
103,Norwalk School District,62,Brien McMahon High School,2003-04,9,1407,0.6,0.2,1.2,0.7,0.7
103,Norwalk School District,63,Briggs High School,2003-04,3,105,2.9,7.7,2.6,0,0
103,Norwalk School District,61,Norwalk High School,2003-04,14,1689,0.8,0.4,0.7,0.5,2
901,Norwich Free Academy,61,Norwich Free Academy,2003-04,24,2341,1,0.9,1.4,1.1,0.6
104,Norwich School District,61,Thames River Academy,2003-04,12,35,34.3,6.3,57.9,0,0
106,Old Saybrook School District,61,Old Saybrook Senior High School,2003-04,0,439,0,0,0,0,0
109,Plainfield School District,61,Plainfield High School,2003-04,38,710,5.4,4.2,7.1,2.5,7.9
110,Plainville School District,61,Plainville High School,2003-04,12,821,1.5,0,0.5,1.8,3.7
111,Plymouth School District,61,Terryville High School,2003-04,11,549,2,0,2,4.3,2.7
113,Portland School District,61,Portland High School,2003-04,2,300,0.7,0,0,0,3.1
116,Putnam School District,61,Putnam High School,2003-04,17,428,4,2.4,4.8,4.3,4.9
201,Regional School District 01,61,Housatonic Valley Regional High School,2003-04,17,594,2.9,1.3,4.3,4.7,0.8
204,Regional School District 04,61,Valley Regional High School,2003-04,27,537,5,3.1,5.3,3.5,9.2
205,Regional School District 05,61,Amity Regional High School,2003-04,11,1180,0.9,0,0.2,0.5,2.1
206,Regional School District 06,61,Wamogo Regional High School,2003-04,3,374,0.8,0,0,1.2,2.4
207,Regional School District 07,61,Northwestern Regional High School,2003-04,9,727,1.2,0.5,1,1.8,1.8
208,Regional School District 08,61,Rham High School,2003-04,19,1033,1.8,0.7,1.7,2.6,2.7
209,Regional School District 09,61,Joel Barlow High School,2003-04,5,935,0.5,0,0.4,0.9,1
210,Regional School District 10,61,Lewis S. Mills High School,2003-04,8,688,1.2,0.6,1.9,1.6,0.6
211,Regional School District 11,61,Parish Hill High School,2003-04,6,201,3,3.4,0,4.2,4.1
212,Regional School District 12,61,Shepaug Valley High School,2003-04,10,403,2.5,0,1.7,4.3,4.8
213,Regional School District 13,61,Coginchaug Regional High School,2003-04,1,578,0.2,0.7,0,0,0
214,Regional School District 14,61,Nonnewaug High School,2003-04,1,794,0.1,0,0,0,0.5
215,Regional School District 15,62,Pomperaug Regional High School,2003-04,14,1279,1.1,0,0.3,2.5,2
216,Regional School District 16,60,Woodland Regional High School,2003-04,12,710,1.7,0,0.5,1.5,6.3
217,Regional School District 17,61,Haddam-Killingworth High School,2003-04,0,588,0,0,0,0,0
218,Regional School District 18,61,Lyme-Old Lyme High School,2003-04,3,469,0.6,0,0,0,2.9
219,Regional School District 19,61,E. O. Smith High School,2003-04,16,1257,1.3,0,1.7,2,1.4
118,Ridgefield School District,61,Ridgefield High School,2003-04,4,1519,0.3,0,0.3,0.3,0.6
119,Rocky Hill School District,61,Rocky Hill High School,2003-04,4,718,0.6,0,1.2,0.6,0.6
124,Seymour School District,61,Seymour High School,2003-04,24,941,2.6,1.4,2.3,3.1,3.4
126,Shelton School District,61,Shelton High School,2003-04,29,1731,1.7,1.1,1.1,3,1.5
128,Simsbury School District,61,Simsbury High School,2003-04,7,1457,0.5,0,0.2,1.5,0.3
129,Somers School District,61,Somers High School,2003-04,2,551,0.4,0.7,0,0.8,0
132,South Windsor School District,62,South Windsor High School,2003-04,11,1547,0.7,0,0.8,0.5,1.9
131,Southington School District,62,Southington High School,2003-04,22,2120,1,0,1.9,1,1.4
134,Stafford School District,61,Stafford High School,2003-04,14,569,2.5,3.3,0.8,3.7,1.7
135,Stamford School District,61,Stamford High School,2003-04,57,1975,2.9,4,2,2.4,3.3
135,Stamford School District,64,The Academy of Information Technology,2003-04,6,270,2.2,1.3,1.5,6.2,0
135,Stamford School District,63,Westhill High School,2003-04,73,2018,3.6,5.3,2.1,3.2,3.3
137,Stonington School District,61,Stonington High School,2003-04,17,705,2.4,0.5,1.7,3.1,5.2
138,Stratford School District,62,Bunnell High School,2003-04,15,1352,1.1,0.3,1.2,1.7,1.5
138,Stratford School District,61,Stratford High School,2003-04,27,959,2.8,3,2.4,2.8,3.1
139,Suffield School District,61,Suffield High School,2003-04,7,793,0.9,0,1.6,1.1,1.2
269,The Bridge Academy District,61,The Bridge Academy,2003-04,4,175,2.3,2.3,1.9,4.4,0
902,The Gilbert School,61,The Gilbert School,2003-04,13,524,2.5,1.4,4.5,2.5,1
140,Thomaston School District,62,Thomaston High School,2003-04,6,363,1.7,0,0,3.4,3.8
141,Thompson School District,61,Tourtellotte Memorial High School,2003-04,6,377,1.6,1,1.2,3.4,0
142,Tolland School District,61,Tolland High School,2003-04,3,871,0.3,0.4,0,1,0
143,Torrington School District,61,Torrington High School,2003-04,40,1323,3,1,3,3.5,5.4
144,Trumbull School District,61,Trumbull High School,2003-04,4,1906,0.2,0.2,0.4,0,0.2
146,Vernon School District,61,Rockville High School,2003-04,27,1273,2.1,0.8,0.9,4.4,2.8
148,Wallingford School District,61,Lyman Hall High School,2003-04,16,1167,1.4,0.3,1,1.9,2.4
148,Wallingford School District,62,Mark T. Sheehan High School,2003-04,9,976,0.9,0,0.7,0.9,2.5
